t[d],dt[d],T[C]
1435.498533,2.484149714,116.2738699
1437.982683,2.484149714,116.266784
1440.466833,2.484149714,116.2596999
1442.950983,2.484149714,116.2526175
1445.435132,2.484149714,116.2455368
1447.919282,2.484149714,116.2384578
1450.403432,2.484149714,116.2313805
1452.887581,2.484149714,116.2243049
1455.371731,2.484149714,116.217231
1457.855881,2.484149714,116.2101588
1460.340031,2.484149714,116.2030879
1462.82418,2.484149714,116.1960178
1465.30833,2.484149714,116.1889485
1467.79248,2.484149714,116.1818803
1470.276629,2.484149714,116.1748153
1472.760779,2.484149714,116.1677556
1475.244929,2.484149714,116.1606915
1477.729079,2.484149714,116.1536291
1480.213228,2.484149714,116.1465776
1482.697378,2.484149714,116.1395174
1485.181528,2.484149714,116.1324621
1487.665677,2.484149714,116.1254048
1490.149827,2.484149714,116.1183634
1492.633977,2.484149714,116.1113193
1495.118127,2.484149714,116.1042782
1497.602276,2.484149714,116.0972472
1500.086426,2.484149714,116.0902052
1502.570576,2.484149714,116.0831683
1505.054725,2.484149714,116.0761338
1507.538875,2.484149714,116.0691015
1510.023025,2.484149714,116.0620634
1512.507175,2.484149714,116.0550406
1514.991324,2.484149714,116.0480153
1517.475474,2.484149714,116.0409953
1519.959624,2.484149714,116.0339675
1522.443773,2.484149714,116.0269605
1524.927923,2.484149714,116.0199481
1527.412073,2.484149714,116.0129405
1529.896223,2.484149714,116.0059216
1532.380372,2.484149714,115.99891
1534.864522,2.484149714,115.9919068
1537.348672,2.484149714,115.9848954
1539.832821,2.484149714,115.9778835
1542.316971,2.484149714,115.9708647
1544.801121,2.484149714,115.9638615
1547.285271,2.484149714,115.956857
1549.76942,2.484149714,115.9498489
1552.25357,2.484149714,115.9428548
1554.73772,2.484149714,115.9358587
1557.221869,2.484149714,115.9288688
1559.706019,2.484149714,115.9218729
1562.190169,2.484149714,115.9148805
1564.674319,2.484149714,115.9078806
1567.158468,2.484149714,115.900891
1569.642618,2.484149714,115.8939017
