"time","head","temp","pres"

0.227500000E+02,0.22488354E+04,0.45566746E+02,0.11499140E+02

0.230000000E+02,0.22488257E+04,0.45552352E+02,0.11499115E+02

0.232500000E+02,0.22488162E+04,0.45538025E+02,0.11499091E+02

0.235000000E+02,0.22488067E+04,0.45523761E+02,0.11499066E+02

0.237500000E+02,0.22487972E+04,0.45509562E+02,0.11499042E+02

0.240000000E+02,0.22487877E+04,0.45495425E+02,0.11499018E+02

0.242500000E+02,0.22487783E+04,0.45481351E+02,0.11498993E+02

0.245000000E+02,0.22487690E+04,0.45467337E+02,0.11498969E+02

0.247500000E+02,0.22487597E+04,0.45453383E+02,0.11498945E+02

0.250000000E+02,0.22487504E+04,0.45439489E+02,0.11498921E+02

0.252500000E+02,0.22487412E+04,0.45425653E+02,0.11498897E+02

0.255000000E+02,0.22487320E+04,0.45411875E+02,0.11498873E+02

0.257500000E+02,0.22487228E+04,0.45398154E+02,0.11498850E+02

0.260000000E+02,0.22487137E+04,0.45384489E+02,0.11498826E+02

0.262500000E+02,0.22487046E+04,0.45370879E+02,0.11498802E+02

0.265000000E+02,0.22486955E+04,0.45357324E+02,0.11498779E+02

0.267500000E+02,0.22486865E+04,0.45343823E+02,0.11498755E+02

0.270000000E+02,0.22486775E+04,0.45330374E+02,0.11498732E+02

0.272500000E+02,0.22486685E+04,0.45316979E+02,0.11498708E+02

0.275000000E+02,0.22486596E+04,0.45303635E+02,0.11498685E+02

0.277500000E+02,0.22486507E+04,0.45290343E+02,0.11498661E+02

0.280000000E+02,0.22486418E+04,0.45277100E+02,0.11498638E+02

0.282500000E+02,0.22486330E+04,0.45263908E+02,0.11498615E+02

0.285000000E+02,0.22486242E+04,0.45250765E+02,0.11498592E+02

0.287500000E+02,0.22486154E+04,0.45237671E+02,0.11498568E+02

0.290000000E+02,0.22486066E+04,0.45224625E+02,0.11498545E+02

0.292500000E+02,0.22485979E+04,0.45211626E+02,0.11498522E+02

0.295000000E+02,0.22485892E+04,0.45198674E+02,0.11498499E+02

0.297500000E+02,0.22485805E+04,0.45185769E+02,0.11498476E+02

0.300000000E+02,0.22485719E+04,0.45172909E+02,0.11498453E+02

0.302500000E+02,0.22485633E+04,0.45160094E+02,0.11498430E+02

0.305000000E+02,0.22485547E+04,0.45147325E+02,0.11498407E+02

0.307500000E+02,0.22485461E+04,0.45134599E+02,0.11498384E+02

0.310000000E+02,0.22485376E+04,0.45121917E+02,0.11498361E+02

0.312500000E+02,0.22485291E+04,0.45109278E+02,0.11498338E+02

0.315000000E+02,0.22485206E+04,0.45096682E+02,0.11498315E+02

0.317500000E+02,0.22485122E+04,0.45084129E+02,0.11498293E+02

0.320000000E+02,0.22485037E+04,0.45071616E+02,0.11498270E+02

0.322500000E+02,0.22484953E+04,0.45059146E+02,0.11498247E+02

0.325000000E+02,0.22484869E+04,0.45046716E+02,0.11498224E+02

0.327500000E+02,0.22484786E+04,0.45034326E+02,0.11498202E+02

0.330000000E+02,0.22484702E+04,0.45021976E+02,0.11498179E+02

0.332500000E+02,0.22484619E+04,0.45009666E+02,0.11498156E+02

0.335000000E+02,0.22484536E+04,0.44997395E+02,0.11498133E+02

0.337500000E+02,0.22484453E+04,0.44985163E+02,0.11498111E+02

0.340000000E+02,0.22484371E+04,0.44972969E+02,0.11498088E+02

0.342500000E+02,0.22484288E+04,0.44960812E+02,0.11498066E+02

0.345000000E+02,0.22484206E+04,0.44948694E+02,0.11498043E+02

0.347500000E+02,0.22484124E+04,0.44936612E+02,0.11498020E+02

0.350000000E+02,0.22484043E+04,0.44924567E+02,0.11497998E+02
