"time","x","y","z","uindex","i","j","k","head","temp","pres","satn","epot","vx","vy","vz","bhpr","kz"
0.152500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315396E+04,0.45634282E+02,0.11330863E+02,0.00000000E+00,0.00000000E+00,0.30432943E-04,0.75341547E-07,0.18667928E-07,0.00000000E+00,0.75000000E-13

0.155000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315210E+04,0.45614431E+02,0.11330776E+02,0.00000000E+00,0.00000000E+00,0.30430559E-04,0.75573498E-07,0.18734827E-07,0.00000000E+00,0.75000000E-13

0.157500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22315025E+04,0.45594710E+02,0.11330689E+02,0.00000000E+00,0.00000000E+00,0.30428199E-04,0.75800785E-07,0.18800999E-07,0.00000000E+00,0.75000000E-13

0.160000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22314842E+04,0.45575117E+02,0.11330604E+02,0.00000000E+00,0.00000000E+00,0.30425862E-04,0.76023573E-07,0.18866472E-07,0.00000000E+00,0.75000000E-13

0.162500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22314661E+04,0.45555649E+02,0.11330519E+02,0.00000000E+00,0.00000000E+00,0.30423547E-04,0.76242010E-07,0.18931269E-07,0.00000000E+00,0.75000000E-13

0.165000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22314481E+04,0.45536304E+02,0.11330435E+02,0.00000000E+00,0.00000000E+00,0.30421254E-04,0.76456241E-07,0.18995413E-07,0.00000000E+00,0.75000000E-13

0.167500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22314302E+04,0.45517079E+02,0.11330352E+02,0.00000000E+00,0.00000000E+00,0.30418982E-04,0.76666407E-07,0.19058925E-07,0.00000000E+00,0.75000000E-13

0.170000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22314125E+04,0.45497971E+02,0.11330269E+02,0.00000000E+00,0.00000000E+00,0.30416731E-04,0.76872643E-07,0.19121827E-07,0.00000000E+00,0.75000000E-13

0.172500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313949E+04,0.45478979E+02,0.11330187E+02,0.00000000E+00,0.00000000E+00,0.30414500E-04,0.77075081E-07,0.19184135E-07,0.00000000E+00,0.75000000E-13

0.175000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313774E+04,0.45460100E+02,0.11330106E+02,0.00000000E+00,0.00000000E+00,0.30412289E-04,0.77273844E-07,0.19245869E-07,0.00000000E+00,0.75000000E-13

0.177500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313600E+04,0.45441333E+02,0.11330025E+02,0.00000000E+00,0.00000000E+00,0.30410097E-04,0.77469052E-07,0.19307044E-07,0.00000000E+00,0.75000000E-13

0.180000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313428E+04,0.45422673E+02,0.11329945E+02,0.00000000E+00,0.00000000E+00,0.30407924E-04,0.77660820E-07,0.19367677E-07,0.00000000E+00,0.75000000E-13

0.182500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313256E+04,0.45404121E+02,0.11329866E+02,0.00000000E+00,0.00000000E+00,0.30405769E-04,0.77849260E-07,0.19427781E-07,0.00000000E+00,0.75000000E-13

0.185000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22313086E+04,0.45385673E+02,0.11329787E+02,0.00000000E+00,0.00000000E+00,0.30403633E-04,0.78034480E-07,0.19487371E-07,0.00000000E+00,0.75000000E-13

0.187500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312917E+04,0.45367329E+02,0.11329709E+02,0.00000000E+00,0.00000000E+00,0.30401514E-04,0.78216581E-07,0.19546459E-07,0.00000000E+00,0.75000000E-13

0.190000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312749E+04,0.45349085E+02,0.11329631E+02,0.00000000E+00,0.00000000E+00,0.30399412E-04,0.78395665E-07,0.19605057E-07,0.00000000E+00,0.75000000E-13

0.192500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312582E+04,0.45330940E+02,0.11329553E+02,0.00000000E+00,0.00000000E+00,0.30397327E-04,0.78571825E-07,0.19663178E-07,0.00000000E+00,0.75000000E-13

0.195000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312416E+04,0.45312892E+02,0.11329476E+02,0.00000000E+00,0.00000000E+00,0.30395259E-04,0.78745153E-07,0.19720831E-07,0.00000000E+00,0.75000000E-13

0.197500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312251E+04,0.45294940E+02,0.11329400E+02,0.00000000E+00,0.00000000E+00,0.30393207E-04,0.78915745E-07,0.19778027E-07,0.00000000E+00,0.75000000E-13

0.200000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22312087E+04,0.45277082E+02,0.11329324E+02,0.00000000E+00,0.00000000E+00,0.30391170E-04,0.79083667E-07,0.19834774E-07,0.00000000E+00,0.75000000E-13

0.202500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311923E+04,0.45259315E+02,0.11329248E+02,0.00000000E+00,0.00000000E+00,0.30389149E-04,0.79249020E-07,0.19891083E-07,0.00000000E+00,0.75000000E-13

0.205000000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311761E+04,0.45241640E+02,0.11329173E+02,0.00000000E+00,0.00000000E+00,0.30387143E-04,0.79411878E-07,0.19946960E-07,0.00000000E+00,0.75000000E-13

0.207500000E+02,0.306000E+04,0.142500E+04,0.107500E+04,3,64,30,22,0.22311599E+04,0.45224054E+02,0.11329098E+02,0.00000000E+00,0.00000000E+00,0.30385152E-04,0.79572313E-07,0.20002415E-07,0.00000000E+00,0.75000000E-13

