%       "time"           "x"            "y"           "z"      "uindex"    "i"  "j"  "k"          "head"           "temp"           "pres"    "satn"           "epot"             "vx"             "vy"             "vz"          "bhpr"            "kz" 
%
  0.100000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21705036E+04   0.59680209E+02   0.14527059E+02   0.00000000E+00   0.00000000E+00   0.11133399E-05  -0.32262650E-06   0.38677527E-07   0.13982917E+02   0.48500000E-13
%
  0.102500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21705302E+04   0.59698958E+02   0.14527175E+02   0.00000000E+00   0.00000000E+00   0.11194154E-05  -0.32375186E-06   0.38940557E-07   0.13983187E+02   0.48500000E-13
%
  0.105000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21705565E+04   0.59717402E+02   0.14527291E+02   0.00000000E+00   0.00000000E+00   0.11252946E-05  -0.32482978E-06   0.39199753E-07   0.13983454E+02   0.48500000E-13
%
  0.107500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21705824E+04   0.59735550E+02   0.14527405E+02   0.00000000E+00   0.00000000E+00   0.11309846E-05  -0.32586213E-06   0.39455231E-07   0.13983717E+02   0.48500000E-13
%
  0.110000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21706080E+04   0.59753412E+02   0.14527519E+02   0.00000000E+00   0.00000000E+00   0.11364923E-05  -0.32685051E-06   0.39707120E-07   0.13983976E+02   0.48500000E-13
%
  0.112500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21706332E+04   0.59770996E+02   0.14527631E+02   0.00000000E+00   0.00000000E+00   0.11418237E-05  -0.32779658E-06   0.39955526E-07   0.13984232E+02   0.48500000E-13
%
  0.115000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21706582E+04   0.59788311E+02   0.14527742E+02   0.00000000E+00   0.00000000E+00   0.11469850E-05  -0.32870172E-06   0.40200554E-07   0.13984485E+02   0.48500000E-13
%
  0.117500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21706828E+04   0.59805363E+02   0.14527852E+02   0.00000000E+00   0.00000000E+00   0.11519816E-05  -0.32956738E-06   0.40442316E-07   0.13984734E+02   0.48500000E-13
%
  0.120000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21707071E+04   0.59822162E+02   0.14527961E+02   0.00000000E+00   0.00000000E+00   0.11568190E-05  -0.33039491E-06   0.40680909E-07   0.13984980E+02   0.48500000E-13
%
  0.122500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21707310E+04   0.59838712E+02   0.14528068E+02   0.00000000E+00   0.00000000E+00   0.11615021E-05  -0.33118554E-06   0.40916428E-07   0.13985222E+02   0.48500000E-13
%
  0.125000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21707547E+04   0.59855021E+02   0.14528174E+02   0.00000000E+00   0.00000000E+00   0.11660356E-05  -0.33194048E-06   0.41148973E-07   0.13985462E+02   0.48500000E-13
%
  0.127500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21707781E+04   0.59871096E+02   0.14528280E+02   0.00000000E+00   0.00000000E+00   0.11704240E-05  -0.33266090E-06   0.41378623E-07   0.13985698E+02   0.48500000E-13
%
  0.130000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21708012E+04   0.59886941E+02   0.14528384E+02   0.00000000E+00   0.00000000E+00   0.11746717E-05  -0.33334777E-06   0.41605469E-07   0.13985931E+02   0.48500000E-13
%
  0.132500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21708240E+04   0.59902563E+02   0.14528487E+02   0.00000000E+00   0.00000000E+00   0.11787827E-05  -0.33400227E-06   0.41829588E-07   0.13986162E+02   0.48500000E-13
%
  0.135000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21708465E+04   0.59917967E+02   0.14528589E+02   0.00000000E+00   0.00000000E+00   0.11827608E-05  -0.33462528E-06   0.42051064E-07   0.13986389E+02   0.48500000E-13
%
  0.137500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21708688E+04   0.59933157E+02   0.14528690E+02   0.00000000E+00   0.00000000E+00   0.11866098E-05  -0.33521781E-06   0.42269967E-07   0.13986613E+02   0.48500000E-13
%
  0.140000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21708907E+04   0.59948140E+02   0.14528789E+02   0.00000000E+00   0.00000000E+00   0.11903331E-05  -0.33578066E-06   0.42486375E-07   0.13986835E+02   0.48500000E-13
%
  0.142500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21709124E+04   0.59962919E+02   0.14528888E+02   0.00000000E+00   0.00000000E+00   0.11939341E-05  -0.33631481E-06   0.42700353E-07   0.13987054E+02   0.48500000E-13
%
  0.145000000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21709338E+04   0.59977499E+02   0.14528985E+02   0.00000000E+00   0.00000000E+00   0.11974161E-05  -0.33682098E-06   0.42911970E-07   0.13987270E+02   0.48500000E-13
%
  0.147500000E+02  0.240250E+04   0.142500E+04   0.675000E+03         2    65    30    14  0.21709550E+04   0.59991884E+02   0.14529081E+02   0.00000000E+00   0.00000000E+00   0.12007820E-05  -0.33730000E-06   0.43121292E-07   0.13987483E+02   0.48500000E-13
%
